,cos_tr,cos_te,c,parsed_body_ans
375,,,,"all content on a drupal website is stored and treated as ""nodes"". a node is any piece of individual content, such as a page, poll, article, forum topic, or a blog entry. for example a newspaper website, each articles is a node, a node can have different fields like an image, a video, text etc. this tutorial explains the concept of node in detail - https://www.drupal.org/docs/7/nodes-content-types-and-fields/about-nodes "
376,,,,"the 7805voltageregulator is provided to you as a codefile. download it, extract the folder and then open that project in esim."
377,,,,in analysis inserter there is option available for dc sweep. 
378,,,,"for learning purpose, it is suggested to practice as mentioned in the tutorial. later you can experiment on your own."
379,,,," // assignment 1 #include<stdio.h> int main() { printf("" welcome to the world of c ""); return 0; }  // output: welcome to the world of c"
380,,,,"an ipython interpreter has certain nice-to-use features that provide more ease of use. it has syntax highlighting, file navigation/system commands that can be easily run inside the console, magic commands like %edit to access special features, tab completion etc.all of these features make it easy and faster to use."
381,,,,hiyes the tutorial will be the same. 
382,,,,it is because dwsim interface is changed recently. please refer this answer for thermodynamic tab and use components from chemsep database.
383,,,,"currently, no. they are in development, and you will be notified once they are live."
384,,,,"dear ram pandey,this project definitely has free and open source content useful for teaching and learning of various software.however, all the tests are conducted under invigilation only.the invigilator helps in preserving order and discipline at all times in the examination centre. he/she also takes  care to prevent candidates from copying each other\u2019s work or engaging in any unfair practice.kindly contact the institute nearest to where you live and request them for a seat during their online tests.rgds,nancy varkeysnr project mngr"
385,,,,yes.the basic level tutorials in the linux series are meant for absolute beginners of any age group.  these tutorials will help a new learner to quick grasp the basics of working on linux os.
386,,,,please follow the instructions of spoken tutorial exactly.
387,,,,the instructions provided in this manual is for installing moodle on windows 7. https://docs.moodle.org/38/en/manual_install_on_windows_7_with_apache_and_mysqlthis link also has instructions for windows 7 as well: https://docs.moodle.org/38/en/complete_install_packages_for_windowsbut note that windows 7 is no longer supported by microsoft: https://www.microsoft.com/en-in/windows/windows-7-end-of-life-support-information
388,,,,your question is not clear.  can you please explain?
389,,,,"hi,is the assumption that you want to access your institutes moodle infrastructure from the web your goal.well, you need a static machine ip (you can try https://www.noip.com/)now, you will be able to run on your local machine and still get your students to access your machine.best wishes.jsp"
390,,,,please post the exact command where you are having doubts. 
391,,,,"global declaration also allocates a memory location for the variable, whereas extern simply tells that there is a variable by that name which someone else has allocated in some other file."
392,,,,what is your role on the moodle platform you are using?
393,,,,"in order to get the list of user-defined data frames/variables, please type ls() in the console window and press enter. "
394,,,,"not multiple statements, multiple cases"
395,,,,"hello,kindly contact your state training manager for issues related to marking attendance.http://process.spoken-tutorial.org/index.php/software-training#contacts_for_training_.28excluding_schools.29rgds,nancy varkeyst team"
396,,,,"dear pranali,here the complete solution for your query and also you will your lost pan card through this processclick here to know how to get lost pan card"
397,,,,"yes, the test can be written by the coordinator."
398,,,,"slurry does not give out smell. it is sent to the agricultural field through a proper drain.pls watch the spoken tutorial on building the walls of the slurry tank.https://spoken-tutorial.org/watch/biogas+plant/building+the+walls+of+the+slurry+tank/english/----------------------------------------------------------------------------------------------------------------------------we are happy that you are genuinely interested in knowing about the construction and functioning of a biogas plant. it is highly recommended that you watch the tutorials carefully and note the details therein. these tutorials will answer most of your questions.  however, in case you have further questions, kindly write to:dr. prasad deodharbaghirath foundation village- zarap, taluka- kudal, dist.- sindhudurg happy learning.spoken tutorial team"
399,,,,this could be because xampp was not installed properly on your system. please reinstall xampp and try again.
400,,,,assignments are for self practice. no need to submit.
401,,,,
402,,,,moodle can be used to upload assignment related quizzes or games that can help students prepare for their assignments while being fun and helping to reduce stress related to assignments. engaging and fun activities can be used to support teaching in the classroom and to support students at home.
403,,,,please go through tutorials carefully.
404,,,,"the steps to find the maxima in the plotted graph are shown in the video. please watch that and follow.the second code is correct, the first code where throw an error."
405,,,,if-else condition is used when your program needs to execute two or more conditions depending on certain value. while condition is used when you want a particular device to execute parallel to that certain value
406,,,,"for this workshop, we have selected few topics under each category.later you can learn more on these categories via spoken tutorial website."
407,,,,can you please elaborate the problem statement that you are trying to solve.
408,,,,"please try !type command followed by the filepath and check if issue persists.make sure you are not copy pasting the path, type the path in the console. "
409,,,,check this out:- https://docs.moodle.org/38/en/mariadbit says:there is a dedicated driver for mariadb. it is recommended to explicitly specify mariadb moodle driver in config.php:$cfg->dbtype    = 'mariadb'; $cfg->dblibrary = 'native';you should find this file at c:\moodle\server\moodle\config.phplet us know if there are any further queries.
